Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_W_SMD_HandSolder,1,RaspberryPi_Pico_W,
"C1, C11, C14, C15, C2",0603,5,0.1uF,
"C10, C12, C17, C18",0805,4,10uF,
C13,0603,1,820pF,
C16,0603,1,47pF,
C3,0603,1,2.7nF,
C4,0603,1,1nF,
"C5, C8, C9",0603,3,100nF,
"C6, C7",0603,2,330nF,
"D1, D2",D_SOD-123,2,1N4148W,
D3,0603,1,LED,
J1,SMA_KWE,1,SMA_KWE_THT,
R1,0805,1,1k,
"R10, R11, R12, R13",0603,4,10k,
"R14, R20, R4, R8, R9",0603,5,1k,
"R16, R17, R5",0603,3,499,
"R18, R19",0603,2,33,
R2,0603,1,100k,
R3,0603,1,50,
"R6, R7",0603,2,9k,
U1,21-0168_T822-2_MXM,1,MAX5394LATA+T,
U2,SO14_SOT108-1_NEX,1,74AHCT125D_118,
"U3, U4",SOT-23-5,2,OPA365xxDBV,
U5,RS_28_ADI,1,AD9226ARSRL,
U6,R_8_ADI,1,AD8138AR-REEL,
