Designator,Mid X,Mid Y,Rotation,Layer
A1,131.0,-122.15,0.0,top
C1,154.505,-75.255,0.0,top
C10,165.655,-115.295,0.0,top
C11,158.515,-75.255,0.0,top
C12,165.655,-118.305,0.0,top
C13,158.515,-77.765,0.0,top
C14,158.515,-80.275,0.0,top
C15,158.515,-82.785,0.0,top
C16,158.515,-85.295,0.0,top
C17,165.655,-121.315,0.0,top
C18,165.655,-124.325,0.0,top
C2,154.505,-77.765,0.0,top
C3,154.505,-80.275,0.0,top
C4,154.505,-82.785,0.0,top
C5,154.505,-85.295,0.0,top
C6,154.505,-87.805,0.0,top
C7,154.505,-90.315,0.0,top
C8,154.505,-92.825,0.0,top
C9,154.505,-95.335,0.0,top
D1,155.42,-144.665,0.0,top
D2,155.42,-148.015,0.0,top
D3,160.335,-144.285,0.0,top
J1,157.175,-109.115,0.0,top
R1,154.705,-154.925,0.0,top
R10,162.525,-85.295,0.0,top
R11,162.525,-87.805,0.0,top
R12,162.525,-90.315,0.0,top
R13,162.525,-92.825,0.0,top
R14,162.525,-95.335,0.0,top
R16,166.535,-75.255,0.0,top
R17,166.535,-77.765,0.0,top
R18,166.535,-80.275,0.0,top
R19,166.535,-82.785,0.0,top
R2,158.515,-87.805,0.0,top
R20,166.535,-85.295,0.0,top
R3,158.515,-90.315,0.0,top
R4,158.515,-92.825,0.0,top
R5,158.515,-95.335,0.0,top
R6,162.525,-75.255,0.0,top
R7,162.525,-77.765,0.0,top
R8,162.525,-80.275,0.0,top
R9,162.525,-82.785,0.0,top
U1,155.0875,-151.5743,0.0,top
U2,156.7846,-131.139,0.0,top
U3,163.815,-128.34,180.0,top
U4,163.815,-132.965,180.0,top
U5,157.9657,-119.8653,0.0,top
U6,156.7846,-139.6621,0.0,top
